problem,algorithm_a,algorithm_b,seed,fitness_a,fitness_b
T200,CCHIHH-noCC,CCHIHH-noMig,5,0.0593619,0.0439247
T200,CCHIHH-noCC,CCHIHH-noMig,6,0.0601585,0.0456305
T200,CCHIHH-noCC,CCHIHH-noMig,7,0.0539274,0.0481957
T200,CCHIHH-noCC,CCHIHH-noMig,8,0.0602201,0.0439191
T200,CCHIHH-noCC,CCHIHH-noMig,9,0.0560422,0.0462242
T200,CCHIHH-noCC,CCHIHH-noMig,10,0.0575964,0.0399262
T200,CCHIHH-noCC,IMOMA,1,0.055202,0.0561089
T200,CCHIHH-noCC,IMOMA,2,0.0605726,0.0576837
T200,CCHIHH-noCC,IMOMA,3,0.0600895,0.0604564
T200,CCHIHH-noCC,IMOMA,4,0.0536944,0.0559108
T200,CCHIHH-noCC,IMOMA,5,0.0593619,0.056316
T200,CCHIHH-noCC,IMOMA,6,0.0601585,0.0581088
T200,CCHIHH-noCC,IMOMA,7,0.0539274,0.0598028
T200,CCHIHH-noCC,IMOMA,8,0.0602201,0.0579043
T200,CCHIHH-noCC,IMOMA,9,0.0560422,0.0558003
T200,CCHIHH-noCC,IMOMA,10,0.0575964,0.05789
T200,CCHIHH-noCC,PPO,1,0.055202,0.0698432241
T200,CCHIHH-noCC,PPO,2,0.0605726,0.0694646888
T200,CCHIHH-noCC,PPO,3,0.0600895,0.0682176149
T200,CCHIHH-noCC,PPO,4,0.0536944,0.0718451304
T200,CCHIHH-noCC,PPO,5,0.0593619,0.0696056903
T200,CCHIHH-noCC,PPO,6,0.0601585,0.072833433
T200,CCHIHH-noCC,PPO,7,0.0539274,0.0670860105
T200,CCHIHH-noCC,PPO,8,0.0602201,0.0893340474
T200,CCHIHH-noCC,PPO,9,0.0560422,0.0692226247
T200,CCHIHH-noCC,PPO,10,0.0575964,0.070172081
T200,CCHIHH-noCC,DSAC-DE,1,0.055202,0.0455815
T200,CCHIHH-noCC,DSAC-DE,2,0.0605726,0.0482269
T200,CCHIHH-noCC,DSAC-DE,3,0.0600895,0.0465502
T200,CCHIHH-noCC,DSAC-DE,4,0.0536944,0.0498508
T200,CCHIHH-noCC,DSAC-DE,5,0.0593619,0.0459053
T200,CCHIHH-noCC,DSAC-DE,6,0.0601585,0.0477472
T200,CCHIHH-noCC,DSAC-DE,7,0.0539274,0.0463102
T200,CCHIHH-noCC,DSAC-DE,8,0.0602201,0.0470571
T200,CCHIHH-noCC,DSAC-DE,9,0.0560422,0.0491592
T200,CCHIHH-noCC,DSAC-DE,10,0.0575964,0.0448205
T200,CCHIHH-noCB,CCHIHH-noMig,1,0.0480908,0.0447738
T200,CCHIHH-noCB,CCHIHH-noMig,2,0.0486941,0.0528554
T200,CCHIHH-noCB,CCHIHH-noMig,3,0.0465974,0.0398658
T200,CCHIHH-noCB,CCHIHH-noMig,4,0.0465011,0.0471413
T200,CCHIHH-noCB,CCHIHH-noMig,5,0.045255,0.0439247
T200,CCHIHH-noCB,CCHIHH-noMig,6,0.0501723,0.0456305
T200,CCHIHH-noCB,CCHIHH-noMig,7,0.0478699,0.0481957
T200,CCHIHH-noCB,CCHIHH-noMig,8,0.047253,0.0439191
T200,CCHIHH-noCB,CCHIHH-noMig,9,0.0495471,0.0462242
T200,CCHIHH-noCB,CCHIHH-noMig,10,0.0479016,0.0399262
T200,CCHIHH-noCB,IMOMA,1,0.0480908,0.0561089
T200,CCHIHH-noCB,IMOMA,2,0.0486941,0.0576837
T200,CCHIHH-noCB,IMOMA,3,0.0465974,0.0604564
T200,CCHIHH-noCB,IMOMA,4,0.0465011,0.0559108
T200,CCHIHH-noCB,IMOMA,5,0.045255,0.056316
T200,CCHIHH-noCB,IMOMA,6,0.0501723,0.0581088
T200,CCHIHH-noCB,IMOMA,7,0.0478699,0.0598028
T200,CCHIHH-noCB,IMOMA,8,0.047253,0.0579043
T200,CCHIHH-noCB,IMOMA,9,0.0495471,0.0558003
T200,CCHIHH-noCB,IMOMA,10,0.0479016,0.05789
T200,CCHIHH-noCB,PPO,1,0.0480908,0.0698432241
T200,CCHIHH-noCB,PPO,2,0.0486941,0.0694646888
T200,CCHIHH-noCB,PPO,3,0.0465974,0.0682176149
T200,CCHIHH-noCB,PPO,4,0.0465011,0.0718451304
T200,CCHIHH-noCB,PPO,5,0.045255,0.0696056903
T200,CCHIHH-noCB,PPO,6,0.0501723,0.072833433
T200,CCHIHH-noCB,PPO,7,0.0478699,0.0670860105
T200,CCHIHH-noCB,PPO,8,0.047253,0.0893340474
T200,CCHIHH-noCB,PPO,9,0.0495471,0.0692226247
T200,CCHIHH-noCB,PPO,10,0.0479016,0.070172081
T200,CCHIHH-noCB,DSAC-DE,1,0.0480908,0.0455815
T200,CCHIHH-noCB,DSAC-DE,2,0.0486941,0.0482269
T200,CCHIHH-noCB,DSAC-DE,3,0.0465974,0.0465502
