problem,run,generation_window,block,operator,selection_count,selection_probability
T500,1,1650-1700,offload,BITFLIP,2,0.005
T500,1,1650-1700,offload,RESAMPLE,0,0.0
T500,1,1650-1700,seq,GA,45,0.1125
T500,1,1650-1700,seq,SWAP,195,0.4875
T500,1,1650-1700,seq,VNS,160,0.4
T500,1,1650-1700,seq,RESAMPLE,0,0.0
T500,1,1650-1700,dev,DE,147,0.3675
T500,1,1650-1700,dev,GDE,238,0.595
T500,1,1650-1700,dev,LEVY,15,0.0375
T500,1,1650-1700,dev,RESAMPLE,0,0.0
T500,1,1700-1750,offload,GA,106,0.265
T500,1,1700-1750,offload,DE,290,0.725
T500,1,1700-1750,offload,BITFLIP,4,0.01
T500,1,1700-1750,offload,RESAMPLE,0,0.0
T500,1,1700-1750,seq,GA,86,0.215
T500,1,1700-1750,seq,SWAP,196,0.49
T500,1,1700-1750,seq,VNS,118,0.295
T500,1,1700-1750,seq,RESAMPLE,0,0.0
T500,1,1700-1750,dev,DE,129,0.3225
T500,1,1700-1750,dev,GDE,254,0.635
T500,1,1700-1750,dev,LEVY,17,0.0425
T500,1,1700-1750,dev,RESAMPLE,0,0.0
T500,1,1750-1800,offload,GA,122,0.305
T500,1,1750-1800,offload,DE,257,0.6425
T500,1,1750-1800,offload,BITFLIP,16,0.04
T500,1,1750-1800,offload,RESAMPLE,5,0.0125
T500,1,1750-1800,seq,GA,47,0.1175
T500,1,1750-1800,seq,SWAP,183,0.4575
T500,1,1750-1800,seq,VNS,170,0.425
T500,1,1750-1800,seq,RESAMPLE,0,0.0
T500,1,1750-1800,dev,DE,153,0.3825
T500,1,1750-1800,dev,GDE,228,0.57
T500,1,1750-1800,dev,LEVY,19,0.0475
T500,1,1750-1800,dev,RESAMPLE,0,0.0
T500,1,1800-1850,offload,GA,93,0.2325
T500,1,1800-1850,offload,DE,246,0.615
T500,1,1800-1850,offload,BITFLIP,56,0.14
T500,1,1800-1850,offload,RESAMPLE,5,0.0125
T500,1,1800-1850,seq,GA,62,0.155
T500,1,1800-1850,seq,SWAP,176,0.44
T500,1,1800-1850,seq,VNS,162,0.405
T500,1,1800-1850,seq,RESAMPLE,0,0.0
