problem,algorithm,seed,final_fitness
T500,DE,10,REQUIRES RERUN
T500,Gbest-DE,1,0.0252239
T500,Gbest-DE,2,0.026603
T500,Gbest-DE,3,0.0255127
T500,Gbest-DE,4,0.0261824
T500,Gbest-DE,5,0.0260256
T500,Gbest-DE,6,0.0265346
T500,Gbest-DE,7,0.0263846
T500,Gbest-DE,8,0.0257057
T500,Gbest-DE,9,0.0263575
T500,Gbest-DE,10,0.0254769
T500,CGA,1,0.0397316
T500,CGA,2,0.0379143
T500,CGA,3,0.0380346
T500,CGA,4,0.0390265
T500,CGA,5,0.0403465
T500,CGA,6,0.040613
T500,CGA,7,0.0394237
T500,CGA,8,0.0392228
T500,CGA,9,0.0390937
T500,CGA,10,0.0387272
T500,IMOMA,1,0.0468562
T500,IMOMA,2,0.0462214
T500,IMOMA,3,0.0464914
T500,IMOMA,4,0.047312
T500,IMOMA,5,0.0451264
T500,IMOMA,6,0.0464004
T500,IMOMA,7,0.046926
T500,IMOMA,8,0.0447715
T500,IMOMA,9,0.0496032
T500,IMOMA,10,0.045308
T500,PPO,1,0.0544336156
T500,PPO,2,0.0558709341
T500,PPO,3,0.0535251925
T500,PPO,4,0.0564307399
T500,PPO,5,0.0556132253
T500,PPO,6,0.0561296131
T500,PPO,7,0.0440594456
T500,PPO,8,0.0442141299
T500,PPO,9,0.1085919457
T500,PPO,10,0.046271507
T500,DSAC-DE,1,0.0345515
T500,DSAC-DE,2,0.0339971
T500,DSAC-DE,3,0.0352364
T500,DSAC-DE,4,0.0333656
T500,DSAC-DE,5,0.0354376
T500,DSAC-DE,6,0.0337935
T500,DSAC-DE,7,0.0332587
T500,DSAC-DE,8,0.0350086
T500,DSAC-DE,9,0.0751695
T500,DSAC-DE,10,0.0349028
