gen,nsubpop=1 mean,nsubpop=1 var,nsubpop=8 mean,nsubpop=8 var
7550,54.76807,0.0008119720999999717,54.658069999999995,0.00023035209999998393
7600,54.76771,0.0008280208999999971,54.658069999999995,0.00023035209999998393
7650,54.76663,0.0008400621000000025,54.658069999999995,0.00023035209999998393
7700,54.76631999999999,0.0008076515999999656,54.658069999999995,0.00023035209999998393
7750,54.76631999999999,0.0008076515999999656,54.658069999999995,0.00023035209999998393
7800,54.76472,0.0008789415999999907,54.658069999999995,0.00023035209999998393
7850,54.76401,0.0008824389000000038,54.657770000000006,0.0002492040999999846
7900,54.763760000000005,0.0008564064000000267,54.65743,0.0002725280999999788
7950,54.763729999999995,0.0008543181000000563,54.65743,0.0002725280999999788
8000,54.76326,0.0008307864000000487,54.65709,0.0002824949000000086
8050,54.762829999999994,0.0007980161000000444,54.65709,0.0002824949000000086
8100,54.762829999999994,0.0007980161000000444,54.65709,0.0002824949000000086
8150,54.76249,0.0007744609000000502,54.65709,0.0002824949000000086
8200,54.76249,0.0007744609000000502,54.65709,0.0002824949000000086
8250,54.76043,0.0008219021000000314,54.65709,0.0002824949000000086
8300,54.759879999999995,0.0008421796000000704,54.65709,0.0002824949000000086
8350,54.75945,0.0008141565000000642,54.65709,0.0002824949000000086
8400,54.75837,0.0007833981000000434,54.65709,0.0002824949000000086
8450,54.758,0.0007614800000000476,54.656780000000005,0.00027120160000002264
8500,54.75738,0.0007660556000000474,54.656780000000005,0.00027120160000002264
8550,54.75622,0.0007390756000000562,54.656780000000005,0.00027120160000002264
8600,54.75599,0.0007357489000000458,54.656780000000005,0.00027120160000002264
8650,54.755680000000005,0.0007002136000000069,54.656780000000005,0.00027120160000002264
8700,54.75553,0.000706470100000007,54.656780000000005,0.00027120160000002264
8750,54.755219999999994,0.0007206836000000231,54.656780000000005,0.00027120160000002264
8800,54.755160000000004,0.0007226744000000184,54.656780000000005,0.00027120160000002264
8850,54.75498,0.0007290356000000286,54.656780000000005,0.00027120160000002264
8900,54.75421,0.000792244900000031,54.656780000000005,0.00027120160000002264
8950,54.75418,0.000790561600000015,54.65638,0.0002663056000000156
9000,54.75338000000001,0.0008084496000000218,54.65638,0.0002663056000000156
9050,54.753229999999995,0.0008121561000000216,54.65638,0.0002663056000000156
9100,54.75286,0.0007920244000000113,54.65638,0.0002663056000000156
9150,54.752829999999996,0.0007930141000000208,54.65638,0.0002663056000000156
9200,54.7528,0.0007933960000000243,54.65638,0.0002663056000000156
9250,54.7519,0.0008001680000000266,54.65638,0.0002663056000000156
9300,54.7519,0.0008001680000000266,54.65638,0.0002663056000000156
9350,54.75178,0.0008053376000000147,54.65638,0.0002663056000000156
9400,54.75123,0.0008000081000000015,54.65638,0.0002663056000000156
9450,54.75095,0.0007872344999999984,54.65601,0.00026067690000000513
9500,54.75010999999999,0.0007797568999999818,54.65601,0.00026067690000000513
9550,54.74823,0.000797536099999975,54.65601,0.00026067690000000513
9600,54.74697,0.0008938000999999735,54.65601,0.00026067690000000513
9650,54.746759999999995,0.0009010723999999937,54.65601,0.00026067690000000513
9700,54.746759999999995,0.0009010723999999937,54.65601,0.00026067690000000513
9750,54.74645,0.000901144499999993,54.6557,0.0002506359999999942
9800,54.74607999999999,0.0009352915999999673,54.655330000000006,0.00024358210000000443
9850,54.74543,0.0009808780999999872,54.654959999999996,0.0002515704000000087
9900,54.744389999999996,0.0009149849000000354,54.65493,0.0002512341000000134
9950,54.744330000000005,0.000914272100000037,54.6549,0.0002509140000000102
10000,54.74426999999999,0.0009166121000000317,54.6549,0.0002509140000000102
