generation,block,config,intra_diversity,global_diversity,inter_diversity
2550,offload,full,7.094882753202169e-05,0.0001369099154454357,6.597044832452439e-05
2550,seq,full,0.000432004300913215,0.0006974148417249437,0.000265639976002322
2550,dev,full,1.660604236663356e-07,2.636554583852648e-07,9.759506713228168e-08
2600,offload,full,6.296816533392484e-05,0.0001602209713247925,9.726505421360772e-05
2600,seq,full,0.000929609144150639,0.001337517444254026,0.0004086675942440499
2600,dev,full,1.226845364013961e-07,2.489544964261144e-07,1.262699910074657e-07
2650,offload,full,4.977320439487809e-05,0.0001264563645497198,7.669079396526586e-05
2650,seq,full,0.000507430741080384,0.0008168313772147389,0.0003097148254088578
2650,dev,full,1.216288363758172e-07,2.493388086444852e-07,1.277100033351028e-07
2700,offload,full,4.83165507634468e-05,0.0001162607171297015,6.795073227456477e-05
2700,seq,full,0.000408735278678875,0.001294938241897468,0.0008869275309224715
2700,dev,full,1.073564955730426e-07,1.564503653636762e-07,4.909388033172673e-08
2750,offload,full,5.622798197859435e-05,9.567984830738635e-05,3.945630321313374e-05
2750,seq,full,7.216578960612268e-06,1.142620192041788e-05,4.209683718488387e-06
2750,dev,full,6.324496332108909e-08,8.97544011623512e-08,2.650944119443924e-08
2800,offload,full,6.248068069949135e-05,0.0001371473480263932,7.467599830141037e-05
2800,seq,full,0.0001897886761409719,0.0004172854057990727,0.000227583097023812
2800,dev,full,9.274333366327138e-08,1.607901041191251e-07,6.804678307762388e-08
2850,offload,full,5.216847641012357e-05,0.0001507847000459,9.862651324981968e-05
2850,seq,full,0.0003282447524842486,0.0006890559615338117,0.0003610481517104387
2850,dev,full,8.652619913125516e-08,1.368294962438335e-07,5.030330581768537e-08
2900,offload,full,7.794749773206466e-05,0.0001517826857551846,7.384669948031423e-05
2900,seq,full,0.0007654137691545336,0.001093016577840958,0.0003281048060632559
2900,dev,full,1.341235356074649e-07,1.950728598749515e-07,6.094934061696697e-08
2950,offload,full,4.322724991805409e-05,0.0001359763527114021,9.275712151867954e-05
2950,seq,full,0.0006562152268121792,0.001061391098274766,0.0004057080524898915
2950,dev,full,1.050406373415524e-07,2.096905100719252e-07,1.046498947153547e-07
3000,offload,full,4.942210284627762e-05,0.0001022447464485365,5.282786506367239e-05
3000,seq,full,0.0005305506053544054,0.0007705365507032191,0.0002402407669049386
3000,dev,full,5.317552726604878e-07,9.441544766250964e-07,4.123996425557753e-07
3050,offload,full,9.145013608217042e-05,0.000179053670182412,8.761955830657772e-05
3050,seq,full,0.00053660681436956,0.0009770776209731622,0.0004409438023120457
3050,dev,full,1.683869254527336e-07,2.64424364247337e-07,9.603747113750752e-08
3100,offload,full,8.920172619627151e-05,0.0001775159492917098,8.832998007015127e-05
3100,seq,full,0.0007343880103647822,0.0009818188676986286,0.0002477946334807163
3100,dev,full,1.198269318476335e-07,2.191688373943314e-07,9.934192935437236e-08
3150,offload,full,4.568910711140823e-05,0.0001302526510127679,8.457127136981757e-05
3150,seq,full,0.0002160591093331229,0.0004001200370726568,0.0001841404822778533
3150,dev,full,1.825346864971257e-07,2.678654199865085e-07,8.533076464102694e-08
3200,offload,full,6.503560805910558e-05,0.0001316024163615155,6.657546728459439e-05
3200,seq,full,0.0001791097328366806,0.000256534368590903,7.745237714461186e-05
3200,dev,full,1.451351210927554e-07,2.672922012539502e-07,1.221571156197652e-07
3250,offload,full,0.0001171408696057481,0.0003522664166891515,0.000235180635907132
