gen,full_mean,full_var,full_ci95,nocc_mean,nocc_var,nocc_ci95
2650,0.3448875,3.4414004999999193e-07,0.00036359983719467875,0.3727803,9.862411581e-05,0.006155277437254116
2700,0.3447731,4.025088899999984e-07,0.00039322743442237005,0.3726597,9.997101280999994e-05,0.006197165826495978
2750,0.3447242,5.052821600000045e-07,0.00044057825024120483,0.3725638,0.00010077256935999999,0.006221960321742465
2800,0.3446997,4.812738100000001e-07,0.00042998389138385176,0.37247600000000003,0.00010135821539999981,0.006240013784284769
2850,0.3446038,4.5827176000000007e-07,0.0004195827443086763,0.37240650000000003,0.0001025133456499998,0.006275470250499474
2900,0.3445017,5.148822100000038e-07,0.00044474391484718644,0.3723269,0.00010390924148999984,0.006318051456802037
2950,0.3444568,5.020213599999879e-07,0.0004391543301136804,0.3721676,0.00010425299003999995,0.006328493395253438
3000,0.3443832,4.478563599999893e-07,0.0004147872939924702,0.3720552,0.00010552510275999999,0.006366987001422384
3050,0.3443443,4.6373400999999304e-07,0.0004220758904291944,0.3720552,0.00010552510275999999,0.006366987001422384
3100,0.3443381,4.7029269000000405e-07,0.0004250501614990889,0.3720144,0.0001064972280399999,0.0063962469561334445
3150,0.3443155,5.061520499999998e-07,0.00044095733526952456,0.3719204,0.00010709737763999994,0.006414244195085059
3200,0.3442503,4.821950100000067e-07,0.00043039520796774977,0.3717366,0.00010590092744000007,0.006378314846834579
3250,0.3442014,4.1309324000001107e-07,0.000398364028343931,0.3716039,0.00010887810989000006,0.006467349897395565
3300,0.34415229999999997,3.9782481000000786e-07,0.00039093270393969725,0.3716039,0.00010887810989000006,0.006467349897395565
3350,0.3441074,3.820956400000031e-07,0.00038312642960568665,0.3715324,0.00011020562984000011,0.0065066577256940785
3400,0.34408079999999996,4.050175600000007e-07,0.0003944509422597444,0.3714323,0.00011217272541000005,0.006564470595067482
3450,0.3440583,3.837508100000032e-07,0.00038395535048961254,0.3713608,0.00011249402056000008,0.006573865144519595
3500,0.3440359,4.1010889000000546e-07,0.00039692244983422403,0.3713077,0.00011378073521000008,0.0066113544178385735
3550,0.3440093,4.3358120999999904e-07,0.0004081232137891689,0.37120960000000003,0.00011592131244,0.006673254931961643
3600,0.3439665,4.421886499999949e-07,0.0004121543300561066,0.3711075,0.0001178037808500001,0.006727220856441093
3650,0.3438787,4.49527210000003e-07,0.0004155603121011451,0.3709544,0.00012073411524,0.006810375739311187
3700,0.3438582,4.375531600000027e-07,0.0004099883192794656,0.3708318,0.0001222675497600001,0.006853488302740556
3750,0.3438582,4.375531600000027e-07,0.0004099883192794656,0.3708318,0.0001222675497600001,0.006853488302740556
3800,0.3438356,4.1632704000000056e-07,0.0003999202366552613,0.3707092,0.0001251886829600001,0.0069348745083032065
3850,0.34376819999999997,3.9139835999998926e-07,0.0003877622905564643,0.37061120000000003,0.00012716260516000007,0.006989333759255286
3900,0.3437642,3.892239599999902e-07,0.00038668369046754,0.37061120000000003,0.00012716260516000007,0.006989333759255286
3950,0.3437398,3.971735599999944e-07,0.00039061258915912815,0.3705132,0.00012947576256000016,0.00705261716989159
4000,0.3436949,4.004152899999957e-07,0.000392203439309752,0.3704662,0.0001307189253600001,0.0070863941723769246
4050,0.34365199999999996,4.289847999999969e-07,0.00040595418555299906,0.3704397,0.00013129576761000016,0.007102012537658439
4100,0.34362539999999997,4.517384399999958e-07,0.00041658113148629095,0.3703437,0.0001324416348100002,0.0071329361716343485
4150,0.34358259999999996,4.720352399999923e-07,0.00042583689107262304,0.3702496,0.00013338650244000018,0.007158334916539633
4200,0.3435581,4.309978899999967e-07,0.0004069055780182901,0.3702088,0.0001344504195600001,0.007186826363435367
4250,0.3434702,4.800667600000015e-07,0.0004294443462447731,0.3701619,0.0001354418280900001,0.007213274754163634
4300,0.3434293,4.6039381000000234e-07,0.0004205530716206944,0.3700373,0.00013524290960999997,0.007207975870920878
4350,0.3433619,5.255974899999944e-07,0.00044934789613215926,0.3699863,0.00013638712521,0.007238403002090558
4400,0.3433415,5.40926049999993e-07,0.00045585321252350226,0.3699597,0.00013700248960999998,0.007254714081793823
4450,0.3432986,5.788886399999949e-07,0.00047157805286336007,0.3698739,0.00013879523109000012,0.007302025470753608
4500,0.3432986,5.788886399999949e-07,0.00047157805286336007,0.3698269,0.00014028375869000023,0.007341076810546971
4550,0.3432128,6.323343600000043e-07,0.0004928666835337947,0.369733,0.00014204993540000024,0.007387144453932391
4600,0.3431822,6.928171600000024e-07,0.0005158998354192419,0.3697044,0.00014266487544000022,0.0074031168131423195
4650,0.3431516,6.776334400000034e-07,0.0005102153097569705,0.3696513,0.00014375960021000028,0.007431466074515425
4700,0.3431311,7.011612899999983e-07,0.0005189972265498144,0.3696023,0.00014478417061000024,0.007457900976919557
4750,0.3431311,7.011612899999983e-07,0.0005189972265498144,0.3695287,0.00014626300721000014,0.007495891998274365
4800,0.3431107,6.995660099999983e-07,0.0005184064798993154,0.3694612,0.0001480256279600001,0.0075409233676727964
4850,0.3430639,7.102220899999922e-07,0.0005223398492307446,0.3693837,0.0001475254972100001,0.00752817341778161
4900,0.3430618,7.041965599999942e-07,0.0005201193617715051,0.3693306,0.00014875249484000013,0.007559415216650984
4950,0.3430618,7.041965599999942e-07,0.0005201193617715051,0.369253,0.00014949349020000006,0.0075782200545531815
5000,0.3430414,7.364530399999918e-07,0.0005318982984052466,0.3691468,0.0001522623973600001,0.007648079665498892
5050,0.3430414,7.364530399999918e-07,0.0005318982984052466,0.3691019,0.00015253507089000012,0.007654924743790917
5100,0.342976,7.011599999999875e-07,0.000518996749122762,0.3689671,0.00014923638009000007,0.0075717004546782245
5150,0.3429514,7.027360399999883e-07,0.000519579712004227,0.368914,0.0001503893190000001,0.007600892104683505
5200,0.3429514,7.027360399999883e-07,0.000519579712004227,0.3688426,0.0001520196982400002,0.007641981894500828
5250,0.3429494,7.078216399999934e-07,0.0005214563847747935,0.368816,0.0001525666102000002,0.007655716098082013
5300,0.3429086,7.864840399999926e-07,0.0005496687264220124,0.3687629,0.0001537494846900002,0.0076853368201081785
5350,0.3429086,7.864840399999926e-07,0.0005496687264220124,0.3687404,0.00015417919644000012,0.0076960691332907385
5400,0.3428616,7.844062399999923e-07,0.0005489421655861362,0.3686976,0.00015505562604000022,0.007717912237096668
5450,0.3428616,7.844062399999923e-07,0.0005489421655861362,0.3686016,0.00015581514044000008,0.007736791605790506
