gen,bandit_adaptive mean,bandit_adaptive var,random_ops mean,random_ops var,fixed_ops mean,fixed_ops var
8450,0.03857582,3.0705060675999977e-06,0.03746928,1.3214160335999968e-06,0.038487969999999996,2.7611952141000004e-06
8500,0.03856771,3.0644253668999955e-06,0.037461100000000004,1.3199545259999977e-06,0.038477620000000004,2.775967893599999e-06
8550,0.038554820000000004,3.0923810535999954e-06,0.03744917,1.3325871840999976e-06,0.03846624,2.7994364543999966e-06
8600,0.03854805,3.0953263244999955e-06,0.03743608,1.3320622475999982e-06,0.03846184,2.8019075924000014e-06
8650,0.03853811,3.112087610899998e-06,0.03742458,1.320000293599998e-06,0.03845429,2.8021455289000003e-06
8700,0.038531510000000005,3.109984566899998e-06,0.03741872,1.325905575599999e-06,0.03844077,2.8165659620999993e-06
8750,0.03851751,3.1139345128999994e-06,0.03741275,1.3223265464999976e-06,0.03843536,2.820217888399999e-06
8800,0.03850958,3.1264358916e-06,0.03740219,1.3261746728999991e-06,0.03842868,2.8260665575999997e-06
8850,0.03850076,3.1424143023999975e-06,0.03739376,1.3179592524000006e-06,0.03841882,2.837678771599995e-06
8900,0.03849462,3.153432715599998e-06,0.03738525,1.3300921005000018e-06,0.0384095,2.8347213939999996e-06
8950,0.03848941,3.1622994829000003e-06,0.037380380000000005,1.3300119455999996e-06,0.03840366,2.840582000400002e-06
9000,0.03847904,3.185589334399999e-06,0.03736093,1.3264839641000013e-06,0.03839783,2.8457421741000054e-06
9050,0.0384667,3.2025625019999993e-06,0.03735637,1.319911304099998e-06,0.03839217,2.856432768099996e-06
9100,0.03845605,3.1990024484999995e-06,0.03734735,1.3201540824999988e-06,0.0383854,2.8518120040000007e-06
9150,0.0384467,3.1878699220000025e-06,0.03732229,1.312957120900002e-06,0.03837719,2.8476075469000006e-06
9200,0.03844249,3.1965324968999983e-06,0.03731305,1.3146795985000012e-06,0.03837102,2.8464518495999982e-06
9250,0.03842423,3.237558036099998e-06,0.037304130000000005,1.3100808341000004e-06,0.038364789999999996,2.8566593209e-06
9300,0.038417259999999995,3.2328830564000002e-06,0.03729481,1.318680494899998e-06,0.03835808,2.854231465599997e-06
9350,0.03840712,3.2537736796000034e-06,0.03728939,1.3242850429000023e-06,0.03835042,2.8504048916e-06
9400,0.038394109999999995,3.245260446900003e-06,0.03728259,1.3207898929000012e-06,0.03834508,2.853141717599997e-06
9450,0.03838587,3.2648944520999995e-06,0.037273650000000005,1.3153376245000004e-06,0.03833612,2.8481341416e-06
9500,0.038379960000000005,3.273776030399997e-06,0.03726273,1.3112865320999993e-06,0.03833333,2.8457013760999974e-06
9550,0.03836947,3.296493806100002e-06,0.03725425,1.3212326844999997e-06,0.03832374,2.8684427984e-06
9600,0.038362810000000004,3.3008610728999978e-06,0.03724333,1.3102102501000023e-06,0.038318069999999996,2.8631360401000016e-06
9650,0.03835577,3.303593686099997e-06,0.037235859999999996,1.315369944400001e-06,0.038309880000000004,2.873995585599997e-06
9700,0.03834838,3.3118303175999996e-06,0.03722448,1.3114369316000012e-06,0.03830382,2.877345103599998e-06
9750,0.0383316,3.3365810940000015e-06,0.037214239999999996,1.3222151964e-06,0.0382976,2.8826113560000015e-06
9800,0.03832012,3.3392958856000015e-06,0.03721203,1.316934862100001e-06,0.03829182,2.8890040155999992e-06
9850,0.03830542,3.3297214716000014e-06,0.037205310000000005,1.3135122928999989e-06,0.03828348,2.8951751576e-06
9900,0.038291950000000005,3.3382119265000018e-06,0.03718801,1.3030344509000001e-06,0.0382754,2.899366732e-06
9950,0.038283319999999996,3.348449743600003e-06,0.03717903,1.2964758941000033e-06,0.03826952,2.903329311599996e-06
10000,0.038271,3.356805564e-06,0.03715867,1.276829028100001e-06,0.038265640000000004,2.8998109944e-06
