gen,migration_true mean,migration_true var,migration_false mean,migration_false var
4500,0.027741710000000003,4.881028788999999e-07,0.04082144,6.338708476400001e-06
4550,0.02772213,4.991826041000004e-07,0.0407118,6.415104178000006e-06
4600,0.02770034,5.149181643999998e-07,0.04062999,6.421428838899997e-06
4650,0.02767772,5.305913235999995e-07,0.04053921,6.1911615108999975e-06
4700,0.02764875,5.584364244999998e-07,0.040476849999999995,6.2426249445e-06
4750,0.027625860000000002,5.767191664000003e-07,0.040423890000000004,6.410814242900005e-06
4800,0.02759569,6.070775709000003e-07,0.040394589999999994,6.5176274989000035e-06
4850,0.02757983,6.229243600999993e-07,0.04037225,6.631535480499998e-06
4900,0.027557530000000004,6.328364560999995e-07,0.04035944,6.742629812399996e-06
4950,0.02752761,6.396923288999995e-07,0.04028659,6.7111174029000075e-06
5000,0.027491179999999997,6.379636655999995e-07,0.04024945,6.701172334500005e-06
5050,0.02746623,6.393436101000006e-07,0.040217619999999996,6.824252649599998e-06
5100,0.027452880000000002,6.494154896000003e-07,0.04018379,6.973335206900009e-06
5150,0.027426440000000003,6.688470844000013e-07,0.040155750000000004,7.046542744500003e-06
5200,0.027415279999999997,6.585844136000002e-07,0.04013448,7.142303189600004e-06
5250,0.02740757,6.560727780999996e-07,0.040114510000000006,7.2209847589e-06
5300,0.02739059,6.675450969000004e-07,0.040097270000000004,7.291172250100006e-06
5350,0.02737229,6.630837769000002e-07,0.04001442,7.343257681600005e-06
5400,0.0273502,6.737710459999999e-07,0.03994933,7.392995310100006e-06
5450,0.02732777,6.852214200999992e-07,0.0398963,7.402460740000007e-06
5500,0.02730978,6.982332196000005e-07,0.03988157,7.4695560061000036e-06
5550,0.027296090000000002,6.933174189000002e-07,0.03986832,7.5221979496000075e-06
5600,0.027273730000000003,7.020332820999996e-07,0.039810200000000004,7.370633630000005e-06
5650,0.027256930000000002,7.055620901000005e-07,0.03974285,7.4731410485e-06
5700,0.02723711,7.191018069000008e-07,0.03966027,7.240314524099996e-06
5750,0.0272137,7.349871200000007e-07,0.0395859,7.108067703999998e-06
5800,0.02718178,7.387538596000001e-07,0.03953807,7.018555076099999e-06
5850,0.02716608,7.382384496000001e-07,0.03943201,6.737823332900001e-06
5900,0.02714901,7.388335288999992e-07,0.03940876,6.745682200399997e-06
5950,0.02713101,7.525407308999991e-07,0.03936551,6.755822796899998e-06
6000,0.02711865,7.584295125000001e-07,0.03929141,6.840238584899997e-06
6050,0.027111049999999998,7.618233304999998e-07,0.039271669999999995,6.9139148181e-06
6100,0.02708995,7.541784125000001e-07,0.03926698,6.947890149600001e-06
6150,0.02707616,7.50517508400001e-07,0.039255069999999996,7.079666172100002e-06
6200,0.02706215,7.588965965000007e-07,0.03924526,7.105840254399996e-06
6250,0.027054089999999996,7.583291129000002e-07,0.03922104,7.137282802399993e-06
6300,0.02703766,7.764099403999994e-07,0.03920565,7.192916052499995e-06
6350,0.027020489999999998,7.911066708999997e-07,0.039135829999999996,7.428926160099997e-06
6400,0.026999659999999998,8.007350084e-07,0.03911481,7.4886034409e-06
6450,0.026966570000000002,7.577491381000003e-07,0.039056560000000004,7.561783896399997e-06
6500,0.026947660000000002,7.646771224e-07,0.039027610000000004,7.617908706899997e-06
6550,0.026932679999999997,7.622817295999993e-07,0.03901157,7.662591064100003e-06
6600,0.02691613,7.492054480999995e-07,0.03900491,7.712020376900003e-06
6650,0.026898830000000002,7.477874760999999e-07,0.038964330000000005,7.619161416099997e-06
6700,0.02688218,7.611244375999992e-07,0.03894597,7.758941268099995e-06
6750,0.02686892,7.763747795999998e-07,0.038938810000000004,7.829323392899994e-06
6800,0.02684956,7.926178444000001e-07,0.03892516,7.882830650399997e-06
6850,0.0268401,7.993581519999995e-07,0.03891382,7.987988071600003e-06
6900,0.026820709999999998,8.094640548999998e-07,0.03891103,8.005231176099997e-06
6950,0.026806029999999998,8.240030280999998e-07,0.03889129,7.999763116899996e-06
7000,0.02679198,8.235411435999997e-07,0.03888131,8.005624588900001e-06
7050,0.02677662,8.161375055999999e-07,0.03886304,8.056863658399999e-06
7100,0.02675214,8.243895823999999e-07,0.03879695,8.109974838500003e-06
7150,0.0267277,8.397259199999998e-07,0.03869893,8.248296298100003e-06
7200,0.02670524,8.225803004000003e-07,0.03866292,8.353958277600002e-06
7250,0.026689360000000002,8.208766863999998e-07,0.03863145,8.411715312499998e-06
7300,0.02667088,8.211935536000009e-07,0.03858452,8.419386849600005e-06
7350,0.026658349999999997,8.224934104999996e-07,0.03856433,8.511855912100001e-06
7400,0.02664281,8.279180749000004e-07,0.03854354,8.601163268399998e-06
7450,0.02662926,8.320048563999996e-07,0.0385187,8.682178976000001e-06
7500,0.0266105,8.267085879999997e-07,0.03848339,8.829982812899999e-06
7550,0.026598339999999998,8.208595043999994e-07,0.03846856,8.949765682399994e-06
7600,0.02658763,8.135644321e-07,0.03842428,9.0100024256e-06
7650,0.02658085,8.08636892500001e-07,0.03839248,9.110930629599993e-06
7700,0.02657288,8.079394976000002e-07,0.0383811,9.185274665999994e-06
7750,0.026562679999999998,8.055140915999994e-07,0.03833568,9.243611159600002e-06
7800,0.026558019999999998,8.043334535999997e-07,0.03829574,9.2187927904e-06
7850,0.02654683,8.095331101000009e-07,0.03824691,9.2596749949e-06
7900,0.02653548,8.108738035999999e-07,0.03824243,9.298275302099998e-06
7950,0.02652386,8.072130064000001e-07,0.03823996,9.325646854400001e-06
8000,0.02650768,7.975783375999997e-07,0.038198209999999996,9.1746901669e-06
8050,0.02648871,7.919398428999997e-07,0.03812412,9.312194989599999e-06
8100,0.026477030000000002,7.831478061000017e-07,0.03808871,9.3284880749e-06
8150,0.026465289999999995,7.690674628999997e-07,0.03805882,9.452401189599996e-06
8200,0.026450400000000002,7.565814980000006e-07,0.038040029999999996,9.559894594100002e-06
8250,0.026438,7.558359699999999e-07,0.038029049999999995,9.642823842500001e-06
8300,0.02642763,7.575164341000003e-07,0.03801614,9.727161180399997e-06
8350,0.02641515,7.669259324999995e-07,0.0380017,9.823214727999996e-06
8400,0.02641105,7.681168184999997e-07,0.03797851,9.873952938899999e-06
8450,0.02639407,7.53771488099999e-07,0.037968970000000005,9.925391904099998e-06
8500,0.026382830000000003,7.54884078099999e-07,0.037953219999999996,1.0045627629599996e-05
8550,0.02637373,7.539300320999995e-07,0.03789471,1.00932830509e-05
8600,0.02636085,7.559911564999996e-07,0.03787009,1.0203236624899994e-05
8650,0.026353130000000002,7.564685640999994e-07,0.03784035,1.0323018204499996e-05
8700,0.02634363,7.520391040999996e-07,0.03780485,1.0192634114499995e-05
8750,0.026327109999999997,7.494256649e-07,0.03779378,1.0252949333599998e-05
8800,0.0263129,7.445346079999998e-07,0.037786219999999995,1.0310195671600001e-05
8850,0.026299319999999998,7.473523755999991e-07,0.03777403,1.0408803676099999e-05
8900,0.02628682,7.517666555999998e-07,0.03775949,1.0337376248899998e-05
8950,0.02627212,7.579281536000002e-07,0.03775244,1.0419502844399997e-05
9000,0.0262536,7.691633819999997e-07,0.03774699,1.0493810072899996e-05
9050,0.02624182,7.731134695999989e-07,0.03774404,1.0509099674399997e-05
9100,0.02623361,7.69974790899999e-07,0.037731310000000004,1.05153317169e-05
9150,0.02622452,7.638893915999998e-07,0.037715910000000005,1.04370471849e-05
9200,0.02621941,7.677206128999997e-07,0.03769145,1.0334555338499996e-05
9250,0.02621055,7.667572404999995e-07,0.037683270000000005,1.0322249992100003e-05
9300,0.026200650000000002,7.638868604999994e-07,0.03768019,1.0354062850900002e-05
9350,0.026192860000000002,7.642677043999991e-07,0.03767794,1.0378818344399999e-05
9400,0.02618279,7.629582908999993e-07,0.03767375,1.0404533264500002e-05
9450,0.02616963,7.641251740999999e-07,0.03766983,1.04504051921e-05
9500,0.026160689999999997,7.649511089e-07,0.037659910000000005,1.0472396012900002e-05
9550,0.02615075,7.744280824999988e-07,0.03763441,1.0507547484899998e-05
9600,0.02613853,7.801698980999992e-07,0.037624000000000005,1.0520232172000002e-05
9650,0.02613083,7.796325220999995e-07,0.0376174,1.0545367612e-05
9700,0.026122069999999997,7.783516340999994e-07,0.037616250000000004,1.0561438344500001e-05
9750,0.02610633,7.744223920999995e-07,0.03761006,1.0618002592400001e-05
9800,0.02609076,7.806057483999983e-07,0.03760601,1.0664102478900001e-05
9850,0.02607868,7.831631616000001e-07,0.03759638,1.0691319251600001e-05
9900,0.026070080000000002,7.850767115999999e-07,0.03757468,1.07312775836e-05
9950,0.02605575,7.916883324999996e-07,0.03757216,1.07384149644e-05
10000,0.02604341,7.890809649000004e-07,0.03755216,1.0781959824400002e-05
