gen,CCHIHH_Full mean,CCHIHH_Full var,GDE mean,GDE var,CGA mean,CGA var,IMOMA mean,IMOMA var
6250,0.027054089999999996,7.583291129000002e-07,0.02677054,1.6757989239999993e-07,0.04161598,6.218775376000002e-07,0.04708293,2.3160423221000002e-06
6300,0.02703766,7.764099403999994e-07,0.02675629,1.6853619490000012e-07,0.04156012,6.081913956000021e-07,0.0470439,2.2186300599999996e-06
6350,0.027020489999999998,7.911066708999997e-07,0.02674426,1.666218783999997e-07,0.04149212,5.97209827599999e-07,0.047010220000000005,2.155019317599999e-06
6400,0.026999659999999998,8.007350084e-07,0.02673119,1.655932029000002e-07,0.04144917,5.953918481000021e-07,0.047010220000000005,2.155019317599999e-06
6450,0.026966570000000002,7.577491381000003e-07,0.026706419999999998,1.6376153160000058e-07,0.04138758,5.799191735999989e-07,0.047010220000000005,2.155019317599999e-06
6500,0.026947660000000002,7.646771224e-07,0.026695629999999998,1.6596680409999973e-07,0.04133695,5.861310224999994e-07,0.046988970000000005,2.2375774801000007e-06
6550,0.026932679999999997,7.622817295999993e-07,0.02667905,1.6011935250000025e-07,0.04126649,5.741389868999989e-07,0.04697899,2.224074140900001e-06
6600,0.02691613,7.492054480999995e-07,0.026668740000000003,1.5968410439999976e-07,0.04120111,5.583828608999998e-07,0.046978580000000006,2.223557733600001e-06
6650,0.026898830000000002,7.477874760999999e-07,0.0266543,1.5837803999999984e-07,0.04115199,5.817657048999995e-07,0.046978580000000006,2.223557733600001e-06
6700,0.02688218,7.611244375999992e-07,0.02664576,1.6045984239999935e-07,0.041101359999999997,5.651371144000016e-07,0.04697536,2.2183417844000015e-06
6750,0.02686892,7.763747795999998e-07,0.02663966,1.6074296640000068e-07,0.04105575,5.741128385000012e-07,0.04697536,2.2183417844000015e-06
6800,0.02684956,7.926178444000001e-07,0.0266269,1.615181520000001e-07,0.0410298,5.590605219999992e-07,0.04697091,2.2125585169e-06
6850,0.0268401,7.993581519999995e-07,0.026618189999999996,1.5834163490000032e-07,0.04099213,5.647335641000023e-07,0.04696915,2.2091759265000002e-06
6900,0.026820709999999998,8.094640548999998e-07,0.026597120000000002,1.673897756000005e-07,0.04097542,5.680467916e-07,0.046962340000000005,2.199015338400001e-06
6950,0.026806029999999998,8.240030280999998e-07,0.02659027,1.6993331609999994e-07,0.04094072,5.712960316000001e-07,0.046962340000000005,2.199015338400001e-06
7000,0.02679198,8.235411435999997e-07,0.026580009999999998,1.7350330290000011e-07,0.040907910000000006,5.692566169000015e-07,0.046962340000000005,2.199015338400001e-06
7050,0.02677662,8.161375055999999e-07,0.026572059999999998,1.7354014039999988e-07,0.04089199,5.730098928999987e-07,0.046962340000000005,2.199015338400001e-06
7100,0.02675214,8.243895823999999e-07,0.02656735,1.7250807250000069e-07,0.04087046,5.703886723999988e-07,0.046962340000000005,2.199015338400001e-06
7150,0.0267277,8.397259199999998e-07,0.02655555,1.7260933250000013e-07,0.04084241,5.615817108999998e-07,0.046962340000000005,2.199015338400001e-06
7200,0.02670524,8.225803004000003e-07,0.02654733,1.731837160999997e-07,0.040797929999999996,5.791416701000013e-07,0.046962340000000005,2.199015338400001e-06
7250,0.026689360000000002,8.208766863999998e-07,0.026540170000000002,1.7319631209999966e-07,0.04076864,5.779122983999993e-07,0.046962340000000005,2.199015338400001e-06
7300,0.02667088,8.211935536000009e-07,0.02653017,1.7568567609999972e-07,0.040736919999999996,5.862181316000005e-07,0.046962340000000005,2.199015338400001e-06
7350,0.026658349999999997,8.224934104999996e-07,0.02652182,1.7457588559999973e-07,0.04072569,5.816116089000005e-07,0.046962340000000005,2.199015338400001e-06
7400,0.02664281,8.279180749000004e-07,0.026509700000000004,1.7885033400000014e-07,0.04068969,5.772673588999991e-07,0.046962340000000005,2.199015338400001e-06
7450,0.02662926,8.320048563999996e-07,0.02650344,1.7868202239999973e-07,0.040662290000000004,5.861480549000009e-07,0.04696019,2.1959808929000013e-06
7500,0.0266105,8.267085879999997e-07,0.026490140000000002,1.8205334840000007e-07,0.040628370000000004,5.691085021000004e-07,0.04694157,2.2699500301000008e-06
7550,0.026598339999999998,8.208595043999994e-07,0.026481769999999998,1.832465440999996e-07,0.04056986,5.885857324000006e-07,0.04694157,2.2699500301000008e-06
