gen,GA mean,GA var,DE mean,DE var,GDE mean,GDE var,CCHIHH (non-stable) mean,CCHIHH (non-stable) var,CCHIHH (stable) mean,CCHIHH (stable) var
4050,55.78700952380952,6.090562358276302e-05,55.6577,0.008076782857142991,55.663309523809524,0.00037922086167801767,55.41077142857142,0.012923459183673536,55.43820952380952,0.0832352932426302
4100,55.78668571428572,6.20326530612227e-05,55.65689047619047,0.007949268480725693,55.662971428571424,0.0003723801360544497,55.40557619047619,0.012444690385487511,55.43731428571429,0.08364901931972768
4150,55.78668571428572,6.20326530612227e-05,55.655966666666664,0.007837412698412776,55.66282380952381,0.00037670467120183695,55.40140476190476,0.012046587120181449,55.435857142857145,0.08431665197278873
4200,55.786480952380956,6.769773242630224e-05,55.65573333333334,0.007825595555555639,55.66279047619047,0.0003760818140589783,55.396814285714285,0.011635965986394744,55.434061904761904,0.08516402616779979
4250,55.78627619047619,6.987990929705082e-05,55.655204761904756,0.007808243310657671,55.66264285714286,0.0003750681632653261,55.39159523809524,0.011063070929705156,55.43294761904762,0.08566743011337856
4300,55.78627619047619,6.987990929705082e-05,55.65451904761905,0.007788718684807326,55.66226666666667,0.0003873898412698582,55.38684285714286,0.01055301959183684,55.432319047619046,0.08594904439909279
4350,55.786114285714284,6.670503401360521e-05,55.65403809523809,0.007738607120181484,55.66187142857143,0.0003917553741496822,55.382061904761905,0.010229709024943226,55.43180952380952,0.0861838189569159
4400,55.785938095238095,7.170045351473214e-05,55.65354285714286,0.007687685306122493,55.66170952380952,0.00039327419501136013,55.376642857142855,0.009832024353741592,55.43073809523809,0.0866704147392287
4450,55.78574761904762,7.346916099772391e-05,55.65345238095239,0.0076708472562358795,55.66153333333333,0.0003854765079365261,55.37222380952382,0.009387030385487674,55.42928095238095,0.08733653106575962
4500,55.785604761904764,7.214807256234935e-05,55.65311428571429,0.007640119319727977,55.66134285714286,0.00037844340136056654,55.36777619047619,0.009101282766439964,55.428019047619046,0.08792854344671162
4550,55.785604761904764,7.214807256234935e-05,55.65290952380953,0.007603082766439988,55.660785714285716,0.0003785602721088618,55.36319523809524,0.008864467120181409,55.427252380952375,0.0882803615419496
4600,55.785604761904764,7.214807256234935e-05,55.65276190476191,0.007600687120181481,55.66043333333334,0.00037062222222224004,55.35978095238095,0.008545000589569345,55.426009523809526,0.08886222752834418
4650,55.785604761904764,7.214807256234935e-05,55.65242380952381,0.007624427528344672,55.659919047619056,0.0003604358276644125,55.35565714285715,0.008206405306122563,55.42525238095238,0.08921124154194965
4700,55.785604761904764,7.214807256234935e-05,55.65171904761904,0.007553048208616821,55.65967142857143,0.0003578591836734841,55.35078571428572,0.007779604081632726,55.42413809523809,0.08972489854875274
4750,55.785604761904764,7.214807256234935e-05,55.65161428571429,0.007534100272108869,55.65950476190476,0.00036174807256237826,55.3466619047619,0.007404857596372065,55.42350476190476,0.09002335092970515
4800,55.785604761904764,7.214807256234935e-05,55.65075238095238,0.007438688208616766,55.65912857142857,0.0003646639455782392,55.342261904761905,0.007083978548752898,55.42250952380952,0.09049367133786834
4850,55.785604761904764,7.214807256234935e-05,55.650400000000005,0.007427181904761905,55.65876190476191,0.0003587947392290345,55.33893333333334,0.006799961269841191,55.42129047619047,0.09107952943310621
4900,55.78557142857143,7.21839455782224e-05,55.650147619047615,0.007393983446712041,55.65876190476191,0.0003587947392290345,55.33539047619048,0.006589175147392207,55.420766666666665,0.09132998698412668
4950,55.78557142857143,7.21839455782224e-05,55.649766666666665,0.007365193650793669,55.6583619047619,0.00035373569160998016,55.33125714285715,0.006300655782312988,55.41985714285714,0.09175875102040776
5000,55.78557142857143,7.21839455782224e-05,55.649457142857145,0.007351872925170064,55.65818571428571,0.0003651631292516897,55.32765238095238,0.006108780589569055,55.41904761904762,0.09213525963718772
5050,55.78536666666667,7.337936507935641e-05,55.649190476190476,0.007329959909297,55.65817619047619,0.00036512086167799363,55.32391904761905,0.005898098684807251,55.41812380952381,0.09257013990929648
5100,55.78519047619048,7.007705215418448e-05,55.648999999999994,0.007326796190476139,55.65782380952381,0.00036503229024942286,55.32091428571429,0.005670264081632716,55.41732857142857,0.09295126013605419
5150,55.78519047619048,7.007705215418448e-05,55.64854285714286,0.007227387210884241,55.657471428571434,0.00037307346938774246,55.3177619047619,0.005493819501133722,55.41634761904762,0.09342381487528321
5200,55.78504285714286,6.808911564625046e-05,55.64854285714286,0.007227387210884241,55.657471428571434,0.00037307346938774246,55.313852380952376,0.005299592970521429,55.415595238095236,0.09378416140589513
5250,55.78501428571429,6.780503401359795e-05,55.64854285714286,0.007227387210884241,55.657328571428565,0.00036784489795917103,55.31153333333334,0.005095472698412648,55.414828571428565,0.09415872680272039
5300,55.78501428571429,6.780503401359795e-05,55.64854285714286,0.007227387210884241,55.65716666666667,0.0003756965079364926,55.308614285714285,0.0049021536054420336,55.41394761904762,0.09457863487528281
5350,55.78501428571429,6.780503401359795e-05,55.648528571428564,0.007224415374149589,55.65684761904762,0.0003783101133786761,55.305261904761906,0.004781276643990829,55.41361428571428,0.0947473821768704
5400,55.78501428571429,6.780503401359795e-05,55.648528571428564,0.007224415374149589,55.65667142857143,0.000380639183673462,55.30169047619047,0.004624257052154167,55.41159999999999,0.09571223238095214
5450,55.78501428571429,6.780503401359795e-05,55.648338095238095,0.007231704263038485,55.65651428571429,0.00039006693877550964,55.29851904761905,0.0044580748752833755,55.41070952380952,0.09614342467120113
5500,55.784866666666666,6.685746031745149e-05,55.64810476190477,0.007227890929705098,55.65636666666666,0.0003898279365079359,55.29550952380952,0.004374520861677961,55.410176190476186,0.09640811324262993
5550,55.784866666666666,6.685746031745149e-05,55.647999999999996,0.0072065095238094574,55.656176190476195,0.0003908075283446715,55.29186190476191,0.004221518548752798,55.40950476190476,0.09673033854875253
5600,55.78471904761905,6.870058956915043e-05,55.647999999999996,0.0072065095238094574,55.65586666666667,0.00039436507936507314,55.28973809523809,0.0041631137868481,55.4089619047619,0.09699666807256177
5650,55.78454285714286,7.126625850339177e-05,55.64783809523809,0.007174329024943251,55.65566190476191,0.0003959861678004582,55.28762857142857,0.004062348707482989,55.40818095238095,0.097388493922902
5700,55.78413333333333,7.133841269840357e-05,55.64747142857143,0.007115299183673366,55.655480952380955,0.00039774916099773595,55.284461904761905,0.003922630929705235,55.40715714285714,0.09790146149659835
5750,55.783971428571434,7.216489795917418e-05,55.64657619047619,0.006963330385487377,55.655480952380955,0.00039774916099773595,55.28125238095239,0.003818295827664386,55.40626666666667,0.09834211841269822
5800,55.783633333333334,7.267365079364227e-05,55.64622380952381,0.0069149132426302995,55.65490476190476,0.0004115709297052235,55.27814285714285,0.003742711020408173,55.4051380952381,0.0989173614058951
5850,55.783633333333334,7.267365079364227e-05,55.64622380952381,0.0069149132426302995,55.65456666666666,0.00040786412698413303,55.27523333333333,0.00360475079365091,55.404890476190474,0.0990429199092967
5900,55.783633333333334,7.267365079364227e-05,55.64622380952381,0.0069149132426302995,55.653847619047625,0.0003970253514739219,55.27338571428571,0.0034738917006803247,55.40428571428571,0.09934212789115617
5950,55.78344285714285,7.745006802720808e-05,55.64601904761904,0.006890821541950064,55.65361428571428,0.0003987974149659913,55.26965238095239,0.00329129963718821,55.40366666666667,0.09965246507936473
6000,55.78344285714285,7.745006802720808e-05,55.645857142857146,0.006872959591836652,55.65346666666667,0.00040216031746032586,55.2672619047619,0.003112096643990913,55.40330476190476,0.0998350090249432
6050,55.78344285714285,7.745006802720808e-05,55.64566666666666,0.00688932603174594,55.65331904761905,0.0003982167800453553,55.26538095238096,0.00303307868480718,55.40278571428571,0.10008365074829903
6100,55.78326666666666,7.565460317459915e-05,55.64566666666666,0.00688932603174594,55.65311428571429,0.00039230598639455996,55.26290476190476,0.0029735099773242103,55.40193333333333,0.10051095746031694
