gen,bandit_adaptive mean,bandit_adaptive var,fixed_ops mean,fixed_ops var
8900,0.02628682,7.517666555999998e-07,0.0338927,2.396041439999999e-07
8950,0.02627212,7.579281536000002e-07,0.033887669999999995,2.3976997810000014e-07
9000,0.0262536,7.691633819999997e-07,0.03388443,2.382125101000008e-07
9050,0.02624182,7.731134695999989e-07,0.03387734,2.4222383440000056e-07
9100,0.02623361,7.69974790899999e-07,0.03387337,2.438764901000002e-07
9150,0.02622452,7.638893915999998e-07,0.033870460000000005,2.408143724000002e-07
9200,0.02621941,7.677206128999997e-07,0.03386517,2.395604661e-07
9250,0.02621055,7.667572404999995e-07,0.03385954,2.3539194439999977e-07
9300,0.026200650000000002,7.638868604999994e-07,0.03385519,2.3189610289999998e-07
9350,0.026192860000000002,7.642677043999991e-07,0.03384559,2.241221469000008e-07
9400,0.02618279,7.629582908999993e-07,0.03384071,2.187557589000004e-07
9450,0.02616963,7.641251740999999e-07,0.03383437,2.2288420610000024e-07
9500,0.026160689999999997,7.649511089e-07,0.03382509,2.175076548999991e-07
9550,0.02615075,7.744280824999988e-07,0.033819699999999994,2.2013200999999916e-07
9600,0.02613853,7.801698980999992e-07,0.03381629,2.217161768999992e-07
9650,0.02613083,7.796325220999995e-07,0.0338052,2.3228393599999984e-07
9700,0.026122069999999997,7.783516340999994e-07,0.03379971,2.3818219689999977e-07
9750,0.02610633,7.744223920999995e-07,0.033789599999999996,2.324538219999996e-07
9800,0.02609076,7.806057483999983e-07,0.03378602,2.3600272959999994e-07
9850,0.02607868,7.831631616000001e-07,0.03377993,2.329139500999993e-07
9900,0.026070080000000002,7.850767115999999e-07,0.03377521,2.303274988999996e-07
9950,0.02605575,7.916883324999996e-07,0.03377179,2.2930690889999992e-07
10000,0.02604341,7.890809649000004e-07,0.03376886,2.2891787640000002e-07
