gen,CCHIHH_Full mean,CCHIHH_Full var,CGA mean,CGA var,IMOMA mean,IMOMA var,DSAC_DE mean,DSAC_DE var
7650,0.3425714,8.082028399999901e-07,0.3553486,2.916287039999985e-06,0.3783784,2.29345823999998e-06,0.3261898,1.960709559999987e-06
7700,0.3425714,8.082028399999901e-07,0.35532620000000004,2.950268159999985e-06,0.3783784,2.29345823999998e-06,0.3261527,2.011532609999991e-06
7750,0.3425714,8.082028399999901e-07,0.35525470000000003,2.9127486099999958e-06,0.3783784,2.29345823999998e-06,0.32611789999999996,1.9566984900000166e-06
7800,0.3425714,8.082028399999901e-07,0.35518510000000003,2.7795438899999903e-06,0.3783702,2.333380759999993e-06,0.32608000000000004,1.8772656000000177e-06
7850,0.3425714,8.082028399999901e-07,0.3551564,2.8335324400000165e-06,0.3783436,2.2311950399999976e-06,0.32605490000000004,1.7591078900000149e-06
7900,0.3425714,8.082028399999901e-07,0.3551523,2.8409440100000186e-06,0.3783436,2.2311950399999976e-06,0.326016,1.6888246000000014e-06
7950,0.3425714,8.082028399999901e-07,0.3550666,2.540736440000033e-06,0.3782905,2.4402176499999913e-06,0.3259907,1.638290209999997e-06
8000,0.3425714,8.082028399999901e-07,0.3550585,2.5229612500000225e-06,0.37821699999999997,2.445269400000001e-06,0.3259268,1.5708487600000063e-06
8050,0.342551,8.095981999999906e-07,0.3550299,2.5410426900000144e-06,0.37819250000000004,2.4771806499999997e-06,0.3258513,1.476494610000007e-06
8100,0.342551,8.095981999999906e-07,0.3549441,2.490809890000009e-06,0.3781191,2.733045489999998e-06,0.3258238,1.4040889599999814e-06
8150,0.3425306,8.768284399999846e-07,0.35490330000000003,2.4086782099999973e-06,0.3781191,2.733045489999998e-06,0.3257891,1.4294066899999845e-06
8200,0.3425306,8.768284399999846e-07,0.3548501,2.266374290000009e-06,0.3780946,2.6400606399999995e-06,0.3257421,1.3373700899999824e-06
8250,0.3425306,8.768284399999846e-07,0.35482559999999996,2.170003039999999e-06,0.3780701,2.59693329e-06,0.3257308,1.3124411599999758e-06
8300,0.3425102,8.799047599999844e-07,0.354799,2.1400333999999978e-06,0.3779843,2.427526009999985e-06,0.3257171,1.2294588899999775e-06
8350,0.3425102,8.799047599999844e-07,0.35479289999999997,2.125770489999996e-06,0.3779843,2.427526009999985e-06,0.3257066,1.2376142399999797e-06
8400,0.3425102,8.799047599999844e-07,0.3547418,2.1296905599999964e-06,0.3779638,2.4305415599999846e-06,0.3256802,1.269823359999978e-06
8450,0.3425102,8.799047599999844e-07,0.3547397,2.124500409999998e-06,0.3779638,2.4305415599999846e-06,0.3256317,1.2493938100000053e-06
