gen,CCHIHH (stable) mean,CCHIHH (stable) var,"CCHIHH (stable, no migration) mean","CCHIHH (stable, no migration) var"
5050,55.16443,0.00013438810000001474,55.457100000000004,0.00036224800000000647
5100,55.16381,0.0001327389000000128,55.45616,0.00036912639999998816
5150,55.16151,0.0001328789000000099,55.454319999999996,0.000362561600000002
5200,55.15998999999999,0.00013266689999999066,55.45291999999999,0.00039306560000000135
5250,55.1583,0.00011945000000000937,55.45155999999999,0.00037357240000000346
5300,55.15647,0.0001087481000000027,55.45082,0.0003487656000000048
5350,55.155060000000006,0.00012843039999998836,55.45032,0.0003534436000000226
5400,55.15289,0.00015056089999999908,55.44986,0.00032585040000000125
5450,55.15174,0.00014868640000001085,55.446600000000004,0.00034552200000000294
5500,55.150639999999996,0.00015434839999998697,55.44607,0.00033597009999999727
5550,55.14892,0.00016755159999999941,55.44514,0.00033417040000000123
5600,55.14849,0.00016169689999998778,55.44391,0.00030680690000003014
5650,55.147749999999995,0.00016848050000000384,55.44291,0.0003134229000000184
5700,55.14491,0.0002130368999999977,55.44217,0.00033627410000000997
5750,55.14369000000001,0.0001880288999999846,55.44211,0.0003372629000000079
5800,55.14226,0.00015996839999999572,55.441089999999996,0.00032938690000000695
5850,55.14118,0.00018053159999999174,55.43882,0.0003257716000000242
5900,55.13995,0.0002081544999999884,55.43728,0.00032720959999995696
5950,55.13869,0.00018731289999999345,55.43654,0.00030496039999998925
6000,55.13808,0.0002052935999999601,55.43561999999999,0.000284329600000008
6050,55.13679,0.00021288289999998265,55.43451,0.0002829749000000037
6100,55.13626000000001,0.00021796240000002189,55.43371,0.000283362899999985
6150,55.13494000000001,0.00019942240000002612,55.43299,0.0002880228999999746
6200,55.134119999999996,0.0002062816000000119,55.43188,0.0002969195999999692
6250,55.13346,0.00018752240000000846,55.43118,0.00027502159999997003
6300,55.13201,0.00019607689999997252,55.43103,0.00027851209999996596
6350,55.131600000000006,0.00021566799999999504,55.429610000000004,0.00029349289999996774
6400,55.130179999999996,0.00019305360000000248,55.42849,0.0002788108999999696
6450,55.13002,0.00019287160000000075,55.427769999999995,0.0002593120999999863
6500,55.129279999999994,0.00021359960000001161,55.426480000000005,0.00024490759999997775
6550,55.12749,0.00019273890000001565,55.425580000000004,0.00024798959999999516
6600,55.12706000000001,0.00019478239999999586,55.423350000000006,0.0002938464999999829
6650,55.12549,0.00019944890000000602,55.42265,0.0002850504999999909
6700,55.12531,0.0001993649000000092,55.42202999999999,0.0002726381000000059
6750,55.12454,0.0001882423999999798,55.42107,0.00025876610000000785
6800,55.12233,0.000179782099999974,55.42092,0.0002639095999999935
6850,55.12152999999999,0.000171606099999983,55.41991,0.0002819929000000044
6900,55.120360000000005,0.0002083324000000026,55.41874,0.00029476839999999655
6950,55.1203,0.00020772400000001134,55.41825,0.0003028605000000151
7000,55.119960000000006,0.00021421840000001208,55.41772999999999,0.0003013960999999945
7050,55.118849999999995,0.00021319450000003383,55.41618,0.00029578359999998853
7100,55.11829,0.00022823889999999935,55.41455,0.00027434650000000344
7150,55.11733,0.00020208010000001612,55.41405999999999,0.0002710944000000014
7200,55.116319999999995,0.00019831560000000415,55.412580000000005,0.00028872159999998343
7250,55.115480000000005,0.00018147160000003362,55.411559999999994,0.0002607344000000305
7300,55.11505,0.00017755050000002267,55.410889999999995,0.00027571290000001484
7350,55.11471,0.0001742049000000245,55.40954000000001,0.0002530003999999952
7400,55.11417,0.00017145210000001524,55.408460000000005,0.00024087639999999878
7450,55.11349,0.00015976490000001279,55.40707999999999,0.00022360559999999385
7500,55.112159999999996,0.00013768640000001167,55.40671,0.0002347009000000204
7550,55.1111,0.00013712600000000656,55.40563999999999,0.00021438040000004154
7600,55.11107,0.00013699010000000532,55.4048,0.00021281000000001674
7650,55.11066000000001,0.0001405243999999839,55.404250000000005,0.00023025450000001242
7700,55.10933,0.00012021209999998905,55.40349,0.00020891489999998208
7750,55.10915,0.00011835449999997693,55.40253,0.00020565809999998616
7800,55.10857,0.00010674609999998331,55.40136,0.0002251043999999733
7850,55.10848,0.00010920759999998728,55.40127,0.00022531409999997196
7900,55.10848,0.00010920759999998728,55.40081,0.00023961090000000426
7950,55.108019999999996,0.00010332560000000526,55.39976,0.00026042840000000035
8000,55.10690999999999,0.00010552490000001432,55.39901999999999,0.00025678159999997996
8050,55.1058,9.950800000000614e-05,55.39793999999999,0.0002491003999999796
8100,55.10536,9.101640000001359e-05,55.39729,0.0002457168999999718
8150,55.10504999999999,9.25385000000147e-05,55.396550000000005,0.00023081049999997282
8200,55.104330000000004,8.397010000001596e-05,55.39603999999999,0.0002095084000000007
8250,55.103899999999996,7.728400000002004e-05,55.395360000000004,0.00020486040000001958
8300,55.103809999999996,7.784290000002121e-05,55.39385,0.00022585649999999077
8350,55.10277,7.444010000002158e-05,55.393420000000006,0.00023188760000000228
8400,55.102059999999994,7.667840000001579e-05,55.39262,0.00020452760000001848
8450,55.10169,7.394090000001378e-05,55.39158,0.00019761559999998765
8500,55.10163,7.451210000001702e-05,55.39095999999999,0.00018351040000001028
8550,55.1009,8.16600000000086e-05,55.390049999999995,0.000175564499999997
8600,55.10046,9.284040000000262e-05,55.38965,0.00016368649999997943
8650,55.100030000000004,9.846210000002343e-05,55.388419999999996,0.00019312159999999642
8700,55.09985,9.736050000002378e-05,55.38692999999999,0.00015531610000000439
8750,55.099450000000004,9.648250000002098e-05,55.3861,0.00016757200000002537
8800,55.09841,9.752890000001965e-05,55.385670000000005,0.00016708610000002618
8850,55.09801,9.588490000001797e-05,55.385439999999996,0.00016822640000003575
8900,55.096590000000006,9.533890000001377e-05,55.385040000000004,0.00015603640000002973
8950,55.09553,9.155410000001284e-05,55.384730000000005,0.0001462621000000191
9000,55.0954,9.14640000000132e-05,55.38409,0.00015705490000001273
9050,55.09496,9.27384000000132e-05,55.38221,0.0001912528999999912
9100,55.09389,8.223089999999896e-05,55.38162,0.0002084116000000138
9150,55.09385999999999,8.228039999999936e-05,55.38153,0.00021288010000002113
9200,55.09352,8.28756000000012e-05,55.38138,0.00021103360000002615
9250,55.092510000000004,8.441890000000652e-05,55.3811,0.00021391200000002737
9300,55.09239,8.0668899999994e-05,55.38077,0.00021911610000002057
9350,55.09186,8.340639999998431e-05,55.38065,0.00022049850000001753
9400,55.091210000000004,9.53088999999934e-05,55.37901000000001,0.000244372900000016
9450,55.089800000000004,6.095400000000408e-05,55.37901000000001,0.000244372900000016
9500,55.08933,6.327809999999642e-05,55.377089999999995,0.00026311290000001486
9550,55.088930000000005,6.186209999999594e-05,55.37623,0.0002649241000000301
9600,55.08779,7.133689999999182e-05,55.375919999999994,0.00025297360000001623
9650,55.08776,7.115239999999005e-05,55.37509,0.00024289290000000882
9700,55.08767,7.132009999999147e-05,55.37465999999999,0.00025154839999999015
9750,55.08651,8.297289999999547e-05,55.3746,0.00024997999999999394
9800,55.08568,8.58795999999918e-05,55.3738,0.000253243999999969
9850,55.08528,9.37196000000014e-05,55.373490000000004,0.0002514428999999662
9900,55.08358,9.733960000002214e-05,55.37268,0.0002485255999999726
9950,55.0834,9.701200000003168e-05,55.372339999999994,0.00025043639999997177
10000,55.08331,9.91549000000353e-05,55.37219,0.0002501888999999755
