gen,stable_true_gate15 mean,stable_true_gate15 var,stable_false mean,stable_false var
9050,0.3424265,8.084796499999867e-07,0.3420385,1.7688594499999756e-06
9100,0.3424265,8.084796499999867e-07,0.34203649999999997,1.765881449999981e-06
9150,0.3424265,8.084796499999867e-07,0.34203649999999997,1.765881449999981e-06
9200,0.3424265,8.084796499999867e-07,0.342014,1.6307351999999963e-06
9250,0.3424245,8.097496499999846e-07,0.342014,1.6307351999999963e-06
9300,0.3424245,8.097496499999846e-07,0.342014,1.6307351999999963e-06
9350,0.3424245,8.097496499999846e-07,0.342012,1.6346032000000004e-06
9400,0.34239800000000004,7.911863999999876e-07,0.342012,1.6346032000000004e-06
9450,0.34239800000000004,7.911863999999876e-07,0.3419915,1.6784014500000024e-06
9500,0.34239800000000004,7.911863999999876e-07,0.3419915,1.6784014500000024e-06
9550,0.34235509999999997,7.876716899999859e-07,0.3419915,1.6784014500000024e-06
9600,0.34235509999999997,7.876716899999859e-07,0.3419915,1.6784014500000024e-06
9650,0.34235509999999997,7.876716899999859e-07,0.34197099999999997,1.6501832000000004e-06
9700,0.34235509999999997,7.876716899999859e-07,0.3419649,1.664426089999995e-06
