gen,CCHIHH_Full mean,CCHIHH_Full var,GDE mean,GDE var,CGA mean,CGA var,IMOMA mean,IMOMA var
2650,0.04136495,1.5102143264999996e-06,0.04019195,1.3275289704999972e-06,0.06025929,2.387218858900001e-06,0.06135538,2.3594490116000007e-06
2700,0.0413192,1.508517267999999e-06,0.040134960000000004,1.3063731803999995e-06,0.06008223,2.440584624100002e-06,0.061308150000000006,2.529421752500001e-06
2750,0.04126201,1.4475871928999999e-06,0.04004369,1.2728154829000025e-06,0.05990431,2.255552492899999e-06,0.06119854,2.4806963944000016e-06
2800,0.04120278,1.457811745599998e-06,0.03997882,1.335358447599999e-06,0.059784000000000004,2.354464590000003e-06,0.06119854,2.4806963944000016e-06
2850,0.04112946,1.4805591743999996e-06,0.03988366,1.2932611563999998e-06,0.05965911,2.520620158900001e-06,0.0611537,2.2191105960000004e-06
2900,0.04107594,1.4432862703999992e-06,0.03981699,1.3982751829000024e-06,0.059548140000000006,2.414714040399996e-06,0.0611519,2.214720756000001e-06
2950,0.04103578,1.4378309215999992e-06,0.03975335,1.2855410724999986e-06,0.05937375,2.348238472500002e-06,0.06105298,2.3408216436e-06
3000,0.04098702,1.4537126196e-06,0.039725579999999996,1.2785522096000014e-06,0.059246129999999994,2.2964231940999997e-06,0.06098015,2.6204984345000008e-06
3050,0.04095939,1.4748538229000003e-06,0.03965753,1.2246465140999989e-06,0.05906786000000001,2.2556442023999987e-06,0.0608263,1.9813871119999975e-06
3100,0.040904100000000006,1.5022462799999976e-06,0.03961491,1.222236604899998e-06,0.05896986,2.2132099244000014e-06,0.06058978,1.7480701976000026e-06
3150,0.04086148,1.498728977599998e-06,0.039560660000000004,1.218050908399998e-06,0.058853810000000006,2.2376298208999993e-06,0.060515269999999996,1.808341108100003e-06
3200,0.04082302,1.4974811156e-06,0.03952389,1.2524286969000002e-06,0.05870434,2.168280946399997e-06,0.06048869999999999,1.8602801540000032e-06
3250,0.04078127,1.5192490280999996e-06,0.03946844,1.1855844123999979e-06,0.05859241,2.0654836348999984e-06,0.06048605,1.864013076500003e-06
3300,0.04074394,1.563647764400001e-06,0.039410719999999996,1.1305276516000022e-06,0.05850433000000001,2.073805368100003e-06,0.060412869999999994,1.9204652781000034e-06
3350,0.040690330000000004,1.6283549581e-06,0.039356180000000004,1.1885071256000028e-06,0.058285710000000004,1.9988696228999972e-06,0.06027944,1.7722859724000053e-06
3400,0.04066347,1.6471504100999992e-06,0.03931713,1.2122631121000005e-06,0.058189199999999996,1.9097346619999977e-06,0.0602434,1.7707882780000056e-06
3450,0.04063165,1.6475690664999988e-06,0.03926541,1.2162013128999985e-06,0.05806144,1.8847932024000014e-06,0.06014577,1.9350882101000017e-06
3500,0.04061446,1.658593072400001e-06,0.03923278,1.2395553775999979e-06,0.05794547,1.8624108121e-06,0.06012269,1.958869662900001e-06
3550,0.04058986,1.6784386663999984e-06,0.03918554,1.2361514003999993e-06,0.05784628000000001,1.8701244656000015e-06,0.06011788,1.967668611600002e-06
3600,0.040570659999999995,1.6989649423999972e-06,0.03910192,1.1499476435999989e-06,0.05769701000000001,1.8461948949000023e-06,0.05996653,1.9662623741000018e-06
3650,0.0405166,1.6861970279999982e-06,0.0390539,1.1375376559999978e-06,0.05756214,2.0661830743999995e-06,0.05996582,1.9630745096000035e-06
3700,0.0404729,1.7077576980000011e-06,0.03901267,1.1239721301000002e-06,0.057473750000000004,2.0168571185000004e-06,0.059951620000000004,1.9569284156000027e-06
3750,0.040421429999999994,1.7918447141000025e-06,0.038971,1.1447349219999988e-06,0.05733418,2.000800735599998e-06,0.05995144,1.957637986400004e-06
3800,0.040392460000000005,1.8139506184000013e-06,0.03888264,1.2147635224000014e-06,0.05717208,1.945323421600001e-06,0.05995144,1.957637986400004e-06
