gen,migration_on mean,migration_on var,migration_off mean,migration_off var
4950,1289.6680000000001,2678.739495999997,1659.084,4290.736964
5000,1289.175,2662.958065,1658.725,4371.577724999999
5050,1288.41,2628.7747999999983,1658.3990000000001,4401.523989000003
5100,1287.286,2596.3640840000016,1657.5639999999999,4476.818624
5150,1286.9180000000001,2590.3984360000013,1656.864,4546.138944000003
5200,1286.442,2593.1605359999994,1656.7759999999998,4553.462304000003
5250,1285.475,2572.8988649999988,1656.256,4599.5821440000045
5300,1284.703,2562.186041000002,1655.714,4652.833644000003
5350,1283.8809999999999,2558.6702089999994,1655.563,4668.611181000002
5400,1283.063,2558.4673810000013,1654.946,4610.816184000002
5450,1281.801,2514.1487690000004,1654.5439999999999,4618.690944000003
5500,1280.3809999999999,2469.4688490000012,1653.548,4535.696256000001
5550,1279.866,2447.7203839999975,1653.0189999999998,4498.876269000002
5600,1279.4779999999998,2455.125396,1650.857,4400.756061000002
5650,1279.0819999999999,2446.703516000004,1650.795,4399.291125000002
5700,1278.19,2429.9051000000004,1650.6080000000002,4395.291756000001
5750,1277.71,2425.619980000003,1649.2549999999999,4507.280165
5800,1277.023,2422.311961,1647.6799999999998,4515.756240000001
5850,1276.55,2414.87488,1646.2060000000001,4654.637443999999
5900,1276.017,2366.335161,1645.041,4836.768349000002
5950,1275.224,2346.016263999999,1644.783,4850.515141000002
6000,1274.72,2331.902739999999,1643.345,4874.143425000001
6050,1274.3790000000001,2339.0782290000034,1642.6029999999998,4954.494920999999
6100,1273.873,2330.2651809999998,1642.159,5007.664828999999
6150,1273.508,2333.2091359999986,1641.0189999999998,5045.137768999999
6200,1273.179,2339.4227889999997,1640.154,5140.692043999999
6250,1272.6879999999999,2345.015516,1638.4,5024.135840000004
6300,1271.78,2355.0548200000003,1636.34,4962.950239999999
6350,1270.884,2317.5263639999966,1635.834,5003.505683999998
6400,1270.529,2316.459169,1634.02,5384.750200000001
6450,1269.815,2299.8151450000005,1633.465,5444.004325
6500,1269.15,2310.0494,1632.76,5593.654
6550,1268.641,2287.2856090000014,1631.133,5719.261641000002
6600,1267.337,2184.7223409999997,1630.4940000000001,5809.470643999999
6650,1266.861,2183.376809000002,1629.087,6061.996060999997
6700,1266.316,2186.2682039999995,1628.741,6155.764828999998
6750,1265.922,2200.151976,1628.579,6200.408789000002
6800,1265.502,2204.587036,1628.459,6231.700648999995
6850,1264.913,2211.901661000003,1628.4270000000001,6240.641001
6900,1263.8809999999999,2237.4455089999974,1628.4270000000001,6240.641001
6950,1263.551,2250.6478689999976,1628.4270000000001,6240.641001
7000,1262.809,2279.0671689999967,1628.4270000000001,6240.641001
7050,1262.2069999999999,2300.4026210000015,1628.4270000000001,6240.641001
7100,1261.8719999999998,2313.6078359999956,1628.4270000000001,6240.641001
7150,1261.51,2320.8398400000015,1628.4270000000001,6240.641001
7200,1261.164,2328.3516040000004,1628.4270000000001,6240.641001
7250,1260.658,2339.2455159999968,1628.4270000000001,6240.641001
7300,1260.3200000000002,2350.915839999999,1628.4270000000001,6240.641001
7350,1260.066,2367.842183999995,1628.4270000000001,6240.641001
7400,1259.8719999999998,2371.2663760000028,1628.4270000000001,6240.641001
7450,1259.462,2389.156596000002,1628.357,6259.117081000001
7500,1259.08,2405.4333400000028,1628.283,6278.7448410000015
7550,1258.8600000000001,2403.5763800000027,1628.149,6314.5378489999985
7600,1258.644,2402.537823999999,1628.1439999999998,6315.879663999998
7650,1257.857,2415.6697010000016,1628.025,6347.947664999999
7700,1257.431,2420.305588999996,1628.0,6354.7170399999995
