gen,full_mean,full_var,full_ci95,nocc_mean,nocc_var,nocc_ci95
2350,0.34525510000000004,4.2864189000000877e-07,0.0004057919029039433,0.3620905,2.7640968249999898e-05,0.0032586123370109492
2400,0.3452102,3.7564996000000404e-07,0.00037988115066899745,0.3618842,2.725167855999992e-05,0.003235584156780591
2450,0.3451019,3.5246728999999857e-07,0.00036797259969513957,0.3618597,2.699366660999993e-05,0.003220230886892673
2500,0.345055,3.026398000000011e-07,0.0003409722944287415,0.3617229,2.8183374289999972e-05,0.0032904293135161545
2550,0.345004,3.565433999999979e-07,0.00037009419415062327,0.3615983,2.833952740999994e-05,0.0032995322168188593
2600,0.344959,3.5844659999999554e-07,0.0003710806460272461,0.3615411,2.8168165089999924e-05,0.0032895413511573874
2650,0.3448875,3.4414004999999193e-07,0.00036359983719467875,0.3615288,2.814239535999992e-05,0.0032880362834825237
2700,0.3447731,4.025088899999984e-07,0.00039322743442237005,0.3615288,2.814239535999992e-05,0.0032880362834825237
2750,0.34472420000000004,5.052821600000045e-07,0.00044057825024120483,0.3614696,2.8454130639999905e-05,0.0033061970338536034
2800,0.3446997,4.812738100000001e-07,0.00042998389138385176,0.3613981,2.9396653089999914e-05,0.003360508629814
2850,0.34460379999999996,4.5827176000000007e-07,0.0004195827443086763,0.3613124,3.0046410439999848e-05,0.003397444485879106
2900,0.3445017,5.148822100000038e-07,0.00044474391484718644,0.3612777,2.971470420999985e-05,0.003378638893003149
2950,0.3444568,5.020213599999879e-07,0.0004391543301136804,0.3611756,2.9570626039999856e-05,0.0033704379091634875
3000,0.3443832,4.478563599999893e-07,0.0004147872939924702,0.3611532,2.9362055159999856e-05,0.003358530498635608
3050,0.3443443,4.6373400999999304e-07,0.0004220758904291944,0.3610632,2.8937105959999927e-05,0.0033341383632947167
3100,0.3443381,4.7029269000000405e-07,0.0004250501614990889,0.3608548,2.847332935999991e-05,0.0033073122330583736
3150,0.3443155,5.061520499999998e-07,0.00044095733526952456,0.36070159999999996,2.8888242639999935e-05,0.003331322153827572
3200,0.3442503,4.821950100000067e-07,0.00043039520796774977,0.3606996,2.8873321039999922e-05,0.0033304616813178275
3250,0.3442014,4.1309324000001107e-07,0.000398364028343931,0.3605547,2.7664027409999978e-05,0.003259971283589104
3300,0.3441523,3.9782481000000786e-07,0.00039093270393969725,0.3603628,2.653027815999992e-05,0.0031924710896021552
3350,0.3441074,3.820956400000031e-07,0.00038312642960568665,0.3601461,2.5348182690000045e-05,0.003120538072543006
3400,0.3440808,4.050175600000007e-07,0.0003944509422597444,0.3598992,2.5269731959999974e-05,0.003115705414469344
3450,0.34405830000000004,3.837508100000032e-07,0.00038395535048961254,0.359799,2.5127314000000014e-05,0.003106913089585868
3500,0.3440359,4.1010889000000546e-07,0.00039692244983422403,0.35961119999999996,2.5102238959999938e-05,0.0031053624778556166
3550,0.3440093,4.3358120999999904e-07,0.0004081232137891689,0.3595907,2.547654640999996e-05,0.0031284293293705042
3600,0.3439665,4.421886499999949e-07,0.0004121543300561066,0.3595376,2.5252143839999957e-05,0.0031146209364181676
3650,0.3438787,4.49527210000003e-07,0.0004155603121011451,0.3594906,2.5036867239999966e-05,0.0031013163203579197
3700,0.3438582,4.375531600000027e-07,0.0004099883192794656,0.35944159999999997,2.5409164639999937e-05,0.003124289469319764
3750,0.3438582,4.375531600000027e-07,0.0004099883192794656,0.359415,2.560358699999995e-05,0.003136219696054468
3800,0.34383559999999996,4.1632704000000056e-07,0.0003999202366552613,0.35933129999999996,2.5407025209999943e-05,0.0031241579352960978
3850,0.3437682,3.9139835999998926e-07,0.0003877622905564643,0.3593088,2.54885269599999e-05,0.003129164827386624
3900,0.34376419999999996,3.892239599999902e-07,0.00038668369046754,0.35922099999999996,2.6524034799999944e-05,0.003192095426012195
3950,0.3437398,3.971735599999944e-07,0.00039061258915912815,0.3591618,2.6476922159999906e-05,0.0031892592269970096
4000,0.34369489999999997,4.004152899999957e-07,0.000392203439309752,0.3591189,2.6723413289999925e-05,0.0032040702940925583
4050,0.34365199999999996,4.289847999999969e-07,0.00040595418555299906,0.35907999999999995,2.654566259999995e-05,0.0031933965842682274
4100,0.34362539999999997,4.517384399999958e-07,0.00041658113148629095,0.35907999999999995,2.654566259999995e-05,0.0031933965842682274
4150,0.3435826,4.720352399999923e-07,0.00042583689107262304,0.35891039999999996,2.5018175440000055e-05,0.0031001584277308186
4200,0.3435581,4.309978899999967e-07,0.0004069055780182901,0.3588594,2.5579099240000102e-05,0.0031347195670487714
4250,0.34347019999999995,4.800667600000015e-07,0.0004294443462447731,0.3588003,2.5239877010000073e-05,0.0031138643438919475
4300,0.3434293,4.6039381000000234e-07,0.0004205530716206944,0.358688,2.3839047999999978e-05,0.003026220196826396
4350,0.3433619,5.255974899999944e-07,0.00044934789613215926,0.3585756,2.3303073439999982e-05,0.0029920074686922813
4400,0.3433415,5.40926049999993e-07,0.00045585321252350226,0.3584612,2.2895219159999996e-05,0.0029657085818579005
4450,0.3432986,5.788886399999949e-07,0.00047157805286336007,0.35841219999999996,2.379590775999998e-05,0.0030234807631406542
4500,0.3432986,5.788886399999949e-07,0.00047157805286336007,0.3583244,2.3740957839999946e-05,0.003019987808553932
4550,0.3432128,6.323343600000043e-07,0.0004928666835337947,0.3582201,2.2894312889999925e-05,0.0029656498849025266
4600,0.3431822,6.928171600000024e-07,0.0005158998354192419,0.35817930000000003,2.3086619609999934e-05,0.002978079211400794
4650,0.3431516,6.776334400000034e-07,0.0005102153097569705,0.3581079,2.2833103089999936e-05,0.002961682778937402
4700,0.3431311,7.011612899999983e-07,0.0005189972265498144,0.3581079,2.2833103089999936e-05,0.002961682778937402
4750,0.3431311,7.011612899999983e-07,0.0005189972265498144,0.3581018,2.2817887959999948e-05,0.002960695836912934
4800,0.3431107,6.995660099999983e-07,0.0005184064798993154,0.3580875,2.289542684999995e-05,0.00296572203328228
4850,0.3430639,7.102220899999922e-07,0.0005223398492307446,0.3579996,2.2113563639999928e-05,0.0029146434787023904
4900,0.3430618,7.041965599999942e-07,0.0005201193617715051,0.35797310000000004,2.2387455689999882e-05,0.002932637887273223
4950,0.3430618,7.041965599999942e-07,0.0005201193617715051,0.3579711,2.2381064089999876e-05,0.0029322192245489344
5000,0.3430414,7.364530399999918e-07,0.0005318982984052466,0.35786480000000004,2.3118881159999904e-05,0.0029801592887672233
5050,0.3430414,7.364530399999918e-07,0.0005318982984052466,0.3577871,2.293743128999993e-05,0.0029684412752093267
5100,0.342976,7.011599999999875e-07,0.000518996749122762,0.3576564,2.2379746039999922e-05,0.0029321328821740617
5150,0.3429514,7.027360399999883e-07,0.000519579712004227,0.3576503,2.2490666609999984e-05,0.002939390155269898
5200,0.3429514,7.027360399999883e-07,0.000519579712004227,0.3576217,2.2344532210000003e-05,0.0029298251643730556
5250,0.3429494,7.078216399999934e-07,0.0005214563847747935,0.35754,2.3222615999999957e-05,0.0029868378199292946
