gen,blocks mean,blocks var,no_blocks mean,no_blocks var
8850,997.2826000000001,39.88243344000002,1288.971,11183.798508999993
8900,997.2594999999999,39.963453650000055,1288.877,11190.461360999992
8950,997.2183000000001,40.19947440999995,1288.685,11213.806944999991
9000,997.1718000000001,40.28466156000003,1287.7530000000002,10989.466900999996
9050,997.1375,40.14416144999992,1287.625,11003.770164999998
9100,997.0897000000001,40.44554380999996,1287.19,10954.391620000002
9150,997.0453,40.54316540999999,1287.097,10953.730281000007
9200,996.8903,40.02700821000017,1286.78,10970.21614
9250,996.7242,39.913187560000125,1286.694,10972.114644000003
9300,996.6784,39.248070439999836,1286.653,10978.157381000003
9350,996.6458,39.18370655999999,1286.528,11001.766076000002
9400,996.5971,39.265269290000056,1286.456,11018.350704000002
9450,996.5442999999999,39.16556580999989,1286.327,11029.484141000008
9500,996.4808,38.82922815999994,1286.237,11040.999501000004
9550,996.4487999999999,38.87530955999996,1286.1309999999999,11033.396009
9600,996.4077,38.971871810000025,1286.06,11048.478680000002
9650,996.3336999999999,39.20191401000013,1285.899,11040.532648999997
9700,996.3120000000001,39.19152920000014,1285.876,11043.573663999996
