generation,block_id,reward_mean,reward_variance,reward_min,reward_max
28,0,1.958258855233389e-05,2.684344420869987e-09,0,0.0001566607084186711
28,1,0.002816387661594845,3.116370094054474e-05,0,0.01669422840344123
28,2,0.003979827798898083,4.454922086636264e-05,0,0.01634559135746506
29,0,6.963199730735103e-05,8.280894841372771e-09,0,0.0002069187999144399
29,1,0.00215311554116799,2.951528521720761e-05,0,0.01651374449511687
29,2,0.001035267119617443,5.972515487442939e-06,-4.549458421455877e-06,0.007461098542499435
30,0,0.0005573464553310826,5.02629256397865e-06,-0.00147372870137457,0.006351974956368513
30,1,0.002334395188006418,9.105279345716252e-06,-3.740399999993538e-07,0.006569552207709434
30,2,-5.612016352436813e-05,1.57785986648532e-06,-0.002188711301002321,0.00265032162267303
31,0,0.001259681380782024,1.191438387559579e-05,-0.0004096266042295765,0.01038417378966731
31,1,0.0001390935202534852,8.639217357811336e-07,-0.001242682328000001,0.00234986549267396
31,2,0.0005377312090395119,8.894226702911751e-07,0,0.002461425222347152
32,0,0.001032544113471636,7.46303142385449e-06,0,0.00826035290777309
32,1,3.229351533084318e-06,4.882111895544403e-11,0,2.15530639999996e-05
32,2,0.0004091821008007178,6.849592911893217e-07,-0.0005053210884468581,0.002218842323017464
33,0,0.002257946449133124,3.568825517007016e-05,0,0.01806357159306499
33,1,0.0005342913077186317,1.990524340057634e-06,0,0.004267069205749054
33,2,-6.5017641338516e-05,2.986474123554176e-08,-0.0005222378356197086,1.976880221779553e-06
34,0,0,0,0,0
34,1,8.41033999999987e-07,4.951367324091847e-12,0,6.728271999999896e-06
34,2,0.002033217083678023,1.892791636256295e-05,-0.0004456361286180044,0.01308122989256144
35,0,-3.825832728462341e-05,3.488836314755434e-08,-0.0005023026283046767,0.0001962360100276894
35,1,0.0016244773755856,7.974346156790083e-06,0,0.006999211558913075
35,2,0.001126637548931907,8.879104383432815e-06,-2.173983640676308e-06,0.00901039939205462
36,0,0,0,0,0
36,1,-1.072685695362868e-07,5.919209533414519e-13,-1.922260556290467e-06,1.064112000000173e-06
36,2,1.428486870911749e-06,1.428402318257068e-11,0,1.142789496729399e-05
37,0,0,0,0,0
37,1,0.002720302528199552,4.454562106338288e-05,0,0.02033579283748048
37,2,0.003114658334207727,3.724230693468054e-05,-4.113536812207566e-07,0.01816415636482428
38,0,0.002392157240668585,3.87072018410047e-05,0,0.01885085995500701
38,1,0.0009065226991544706,5.716916693928353e-06,0,0.007232517337235765
38,2,0.003107573742919251,3.500678137051614e-05,-0.0007704612495693626,0.01657327521168096
39,0,-9.291587894406147e-06,6.043352391963239e-10,-7.433270315524917e-05,0
39,1,7.943618550670889e-05,4.417075297499387e-08,0,0.0006354894840536711
39,2,7.013940646714217e-07,2.529867961607581e-12,0,4.889603736570742e-06
40,0,4.564223934423921e-05,4.375073257411917e-09,0,0.0001728146898408375
40,1,0.0001966560404080265,1.479380000209893e-07,0,0.001159131634902567
40,2,0.002415562163933398,3.126160613454985e-05,0,0.01708027654219238
41,0,0.0004982065995304324,1.536649833755059e-06,-1.615557582826318e-05,0.003771692297378361
41,1,0,0,0,0
41,2,4.381635473798533e-05,1.343911059767479e-08,0,0.0003505308379038826
42,0,0.002588534812356196,4.690358732345949e-05,0,0.02070827849884957
42,1,0.0005002836322026914,1.31833703133237e-06,0,0.00350776772024472
42,2,0.000341331535738881,8.145967450241872e-07,0,0.002729254549365873
43,0,0.0004102610892746181,1.178199129609574e-06,0,0.003282088714196945
43,1,0.0001216246871223416,1.045559118095503e-07,-1.511525600000063e-05,0.0009769815689787337
43,2,0.002189341408047787,2.25248721758494e-05,-1.313922257943634e-06,0.01464317499192583
44,0,-6.626614823768021e-05,3.073841681580746e-08,-0.0005301291859014417,0
44,1,0.0003676055538799716,9.459369027038049e-07,0,0.002940844431039773
44,2,0.0002928497512924006,4.861456773703529e-07,0,0.002128191034555906
45,0,0,0,0,0
45,1,0.0007278775227266691,1.690799758534467e-06,0,0.003554590816860422
45,2,0.0005361489899228752,1.636563511808366e-06,-0.0008163557439050409,0.003472332234159515
46,0,0.00355932125407228,7.215818418257359e-05,0,0.0259273510495186
46,1,0.0003722764966185254,9.701285295419409e-07,0,0.002978211972948203
46,2,0.0006965542076181915,3.395476565955631e-06,0,0.005571832219218177
47,0,0.003321587735649736,7.723061559933115e-05,0,0.02657270188519788
47,1,0.0004024474089634439,1.127879028721466e-06,0,0.003212271807707551
47,2,0,0,0,0
48,0,-6.628805541005027e-05,3.075874403032127e-08,-0.0005303044432804022,0
48,1,0.001339762140291428,5.991810496462437e-06,0,0.006961824660028328
48,2,0.002951131368514516,5.32961070599582e-05,0,0.02222932438262302
49,0,0.004971799398253626,9.752990783733273e-05,0,0.02955643542604092
49,1,0.0006824145616584542,3.259827437744502e-06,0,0.005459316493267634
49,2,0,0,0,0
50,0,0.007279374550285311,0.0003709250569033903,0,0.05823499640228249
50,1,0.004984317952524029,9.928266864046799e-05,0,0.0298900501262488
50,2,0.001321419050415124,1.221460664696002e-05,-1.199781206596539e-06,0.01056816062069329
51,0,0.002105991104091975,3.104638971360175e-05,0,0.0168479288327358
51,1,0.0004145125136538923,1.202744367829678e-06,0,0.003316100109231139
51,2,0.003473675129146266,2.952560898052318e-05,0,0.01577093332502406
52,0,0.001248305704544126,1.049626890600502e-05,-0.0001689225828140184,0.009815757071806985
52,1,0,0,0,0
52,2,0.002812061848981693,5.532488969849337e-05,-5.104610137137561e-07,0.02249134544739298
53,0,0,0,0,0
