gen,bandit_adaptive mean,bandit_adaptive var,random_ops mean,random_ops var,fixed_ops mean,fixed_ops var
6700,0.02688218,7.611244375999992e-07,0.026386939999999998,7.350489884000005e-07,0.02711576,2.1546840839999964e-07
6750,0.02686892,7.763747795999998e-07,0.026368330000000002,7.413582521000003e-07,0.02709431,2.172284009000002e-07
6800,0.02684956,7.926178444000001e-07,0.02634259,7.461561669000004e-07,0.027073229999999997,2.231813041000004e-07
6850,0.0268401,7.993581519999995e-07,0.026322630000000003,7.494295721000005e-07,0.027051009999999997,2.2658692889999966e-07
6900,0.026820709999999998,8.094640548999998e-07,0.02629564,7.435653123999997e-07,0.02703392,2.2855394559999982e-07
6950,0.026806029999999998,8.240030280999998e-07,0.02627754,7.485119924000001e-07,0.027011200000000003,2.316514419999996e-07
7000,0.02679198,8.235411435999997e-07,0.026258629999999998,7.553175760999997e-07,0.02699277,2.3269110410000006e-07
7050,0.02677662,8.161375055999999e-07,0.026241999999999998,7.56586982e-07,0.02696558,2.3832468559999992e-07
7100,0.02675214,8.243895823999999e-07,0.02621995,7.615613425000002e-07,0.02694498,2.406968755999995e-07
7150,0.0267277,8.397259199999998e-07,0.026203090000000002,7.563119948999999e-07,0.0269233,2.439462000000001e-07
7200,0.02670524,8.225803004000003e-07,0.026186880000000003,7.560271316000009e-07,0.026904260000000003,2.472787544e-07
7250,0.026689360000000002,8.208766863999998e-07,0.026174949999999995,7.548205784999997e-07,0.026884219999999997,2.518988075999996e-07
7300,0.02667088,8.211935536000009e-07,0.026163150000000003,7.536312824999995e-07,0.02686461,2.545078149e-07
7350,0.026658349999999997,8.224934104999996e-07,0.026144010000000002,7.570600089000008e-07,0.026846759999999997,2.5425881439999997e-07
7400,0.02664281,8.279180749000004e-07,0.026124619999999998,7.629438116000003e-07,0.02682791,2.5350946089999935e-07
7450,0.02662926,8.320048563999996e-07,0.02610037,7.623341421000007e-07,0.026810849999999997,2.556879444999998e-07
7500,0.0266105,8.267085879999997e-07,0.02608192,7.668257515999994e-07,0.02679105,2.536317785000002e-07
7550,0.026598339999999998,8.208595043999994e-07,0.0260699,7.685541559999999e-07,0.026771830000000003,2.572649261000007e-07
7600,0.02658763,8.135644321e-07,0.026054909999999997,7.716941448999995e-07,0.026743869999999996,2.608914740999998e-07
7650,0.02658085,8.08636892500001e-07,0.02603785,7.672771224999992e-07,0.02672829,2.5826368290000004e-07
7700,0.02657288,8.079394976000002e-07,0.02601502,7.712215415999998e-07,0.026709919999999998,2.5913347959999943e-07
7750,0.026562679999999998,8.055140915999994e-07,0.02599964,7.719500444000012e-07,0.02669359,2.609844049e-07
7800,0.026558019999999998,8.043334535999997e-07,0.02598414,7.751734243999997e-07,0.02666787,2.679083161000004e-07
7850,0.02654683,8.095331101000009e-07,0.025973249999999996,7.748261465000009e-07,0.02665163,2.6907237810000003e-07
7900,0.02653548,8.108738035999999e-07,0.02595462,7.676050016000008e-07,0.026637840000000003,2.708044224000002e-07
7950,0.02652386,8.072130064000001e-07,0.025942470000000002,7.622902881e-07,0.0266224,2.7296302800000006e-07
8000,0.02650768,7.975783375999997e-07,0.025931310000000003,7.581640169000005e-07,0.0266024,2.738624959999997e-07
